DNI;CONTRASEÑA;NIVEL(0-no dado de alta, 1-adminsitrador, 2-supervisor, 3-empleado, 4-superusuario)
00000000;00000000;4
47190174;47190174;1
47190175;47190175;1
47290176;47290176;1
47390177;47390177;1
47490178;47490178;1
47590179;47590179;0
47690180;47690180;0
47790181;47790181;0
47890182;47890182;0
47990183;47990183;2
48090184;48090184;2
46419673;46419673;2
46519674;46519674;2
46619675;46619675;2
46719676;46719676;2
46819677;46819677;2
46919678;46919678;2
47019679;47019679;2
47119680;47119680;2
47219681;47219681;2
47319682;47319682;2
94958731;94958731;3
94958732;94958732;3
94958733;94958733;3
94958734;94958734;3
94958735;94958735;3
94958736;94958736;3
94958737;94958737;3
94958738;94958738;3
94958739;94958739;3
94958740;94958740;2
94958741;94958741;2
94958742;94958742;2
94958743;94958743;2
94958744;94958744;2
94958745;94958745;2
94958746;94958746;2
94958747;94958747;2
94958748;94958748;2
94958749;94958749;2
94958750;94958750;3
11111111;11111111;4
47255186;tomi0606;3
22222222;22222222;4
46732931;luma1902;1
